iter	MultiClass	Accuracy
0	0.8016270478	0.7421086364
1	0.6939902891	0.7531912621
2	0.6332506451	0.7665972333
3	0.599722097	0.771564386
4	0.5784637587	0.7775196283
5	0.5600819569	0.7833146397
6	0.5437888741	0.7880147412
7	0.5324963669	0.792340971
8	0.5259950118	0.7929284837
9	0.5180405895	0.7964268547
10	0.5124773092	0.7977354057
11	0.5088795754	0.7988570208
12	0.5057064	0.8003258025
13	0.5026237404	0.8015008279
14	0.4965490235	0.803503712
15	0.4944569317	0.8038508786
16	0.4913293623	0.8047855579
17	0.4882283178	0.8060674037
18	0.4849264155	0.8074026598
19	0.4831570676	0.808524275
20	0.4804403209	0.8097260054
21	0.4737032507	0.8115152486
22	0.4711889986	0.8125300433
23	0.4685605949	0.8139721199
24	0.4650778344	0.8158681835
25	0.4634912205	0.8162954655
26	0.4608877836	0.8164824013
27	0.4587351318	0.8175239011
28	0.4554986434	0.8183517599
29	0.4510341698	0.8208353362
30	0.4490084878	0.8216899001
31	0.4467739865	0.8227046948
32	0.4430366159	0.8237728996
33	0.4421584154	0.8237728996
34	0.4390299976	0.8254553223
35	0.437883328	0.8254019121
36	0.4348203973	0.8270576297
37	0.4339424233	0.8275116167
38	0.4299538649	0.8296747316
39	0.4273320837	0.8309565775
40	0.4239940978	0.8322384233
41	0.4210121802	0.833039577
42	0.4200581517	0.8336270897
43	0.4171299509	0.8347219997
44	0.4158717675	0.8349356407
45	0.4131171962	0.8361907814
46	0.4117282605	0.837419217
47	0.4096840107	0.838300486
48	0.4082610604	0.8381402553
49	0.4074532095	0.8390482295
50	0.4070934996	0.8391283448
51	0.4026509457	0.8411045238
52	0.4014454477	0.8418789724
53	0.4006483589	0.841798857
54	0.3994268032	0.8424130748
55	0.3967431509	0.8440420873
56	0.3960728421	0.844202318
57	0.3952232036	0.844202318
58	0.3944688103	0.8450301768
59	0.3941155522	0.8453239331
60	0.39240433	0.8462052022
61	0.3895377611	0.8470063558
62	0.3872312646	0.8486353683
63	0.3851153444	0.8505848422
64	0.3829800524	0.8511456497
65	0.3819289612	0.8515195214
66	0.3811101843	0.8516530471
67	0.3803875777	0.8520002136
68	0.3790826293	0.8532553544
69	0.3782889302	0.853175239
70	0.3772813672	0.8537627517
71	0.3756490108	0.8543769695
72	0.3735358199	0.8550713027
73	0.3716248512	0.8561929178
74	0.3701798474	0.8565133793
75	0.3679240073	0.8576884046
76	0.3670715927	0.8583293276
77	0.3668167584	0.8585696737
78	0.3650620408	0.8588901351
79	0.3638992082	0.859290712
80	0.3622246974	0.8602520964
81	0.360992489	0.86105325
82	0.3599363273	0.8614004166
83	0.3590346349	0.8620146344
84	0.3574436039	0.8623885061
85	0.3569805502	0.8625487368
86	0.3561188066	0.863456711
87	0.3552959299	0.8637771725
88	0.3543890734	0.8646317364
89	0.3520086742	0.8655931208
90	0.3511605429	0.8663141591
91	0.3487938832	0.8673022486
92	0.3481643662	0.8672755434
93	0.3473639885	0.8681835176
94	0.3465649413	0.8682903381
95	0.3455990869	0.868931261
96	0.3450724863	0.8688511456
97	0.3420677101	0.8706937991
98	0.3417114645	0.8708807349
99	0.3389866588	0.8719756449
100	0.3370311551	0.8728302088
101	0.3361157392	0.8730972601
102	0.3338618797	0.8745927469
103	0.3331666377	0.8745126315
104	0.332252063	0.8745126315
105	0.3313543193	0.8748865032
106	0.3299941315	0.8755274262
107	0.3282663921	0.8768893874
108	0.3271246325	0.8773967847
109	0.3264719979	0.8773700796
110	0.3248413663	0.8791059125
111	0.3232085929	0.8797468354
112	0.3225232389	0.8801474123
113	0.3221243785	0.8805746942
114	0.3219057342	0.8802275276
115	0.3208884764	0.8806013993
116	0.3202118213	0.8805746942
117	0.3189533488	0.8810820915
118	0.3182626682	0.8814826684
119	0.316883723	0.882711104
120	0.3156403207	0.8835389628
121	0.3150010944	0.8837793089
122	0.3133339906	0.8847673984
123	0.3126057349	0.8850878599
124	0.3119356062	0.8850344496
125	0.3111919028	0.886209475
126	0.3104963802	0.8866634621
127	0.3102639259	0.8866634621
128	0.3091115119	0.887518026
129	0.3064947002	0.889280564
130	0.3053372974	0.8898146665
131	0.3044582423	0.8896277306
132	0.3036126067	0.8901084228
133	0.303142035	0.8900817177
134	0.3025192898	0.8906158201
135	0.3009527827	0.891684025
136	0.2998363978	0.891684025
137	0.2996452499	0.8916573199
138	0.2983039739	0.8927522299
139	0.2966993828	0.8939272552
140	0.2953477072	0.8946482935
141	0.2941946989	0.8949420499
142	0.2933569157	0.8955028574
143	0.2926636213	0.8959034343
144	0.2920999025	0.8966778828
145	0.2916188994	0.8963841265
146	0.2913131743	0.8965443572
147	0.2908253038	0.8968648187
148	0.2903329866	0.8970517545
149	0.2899677372	0.8974790365
150	0.2888825768	0.8979063184
151	0.2881915994	0.8983336004
152	0.2875942343	0.8981733697
153	0.2869737959	0.8983336004
154	0.2855064796	0.8991614592
155	0.2846836369	0.9001762538
156	0.2844468697	0.9001762538
157	0.2836695505	0.9009774075
158	0.2831452648	0.9014848048
159	0.2824167217	0.9012177536
160	0.28143682	0.901751856
161	0.2799744188	0.9029001763
162	0.2789102562	0.9031672275
163	0.2783026864	0.9034075736
164	0.2769264612	0.9041019067
165	0.2762743694	0.9047695348
166	0.2750556364	0.9052769321
167	0.2739118807	0.9056508038
168	0.2729490703	0.9065053677
169	0.2711885625	0.9077070982
170	0.27082274	0.9077338033
171	0.2700104348	0.9082946109
172	0.2688079553	0.9090156492
173	0.2679339486	0.9093895209
174	0.2674623537	0.9090957646
175	0.2669711249	0.9089889441
176	0.2657902818	0.9101372643
177	0.2653925177	0.9101906746
