iter	Passed	Remaining
0	3064	609736
1	4980	493067
2	6817	447661
3	8785	430465
4	10902	425202
5	12882	416530
6	14942	411984
7	17207	412971
8	19117	405708
9	20748	394228
10	23044	395952
11	25315	396604
12	27571	396611
13	29828	396291
14	32022	394949
15	34262	394019
16	36604	394033
17	38513	389409
18	40747	388170
19	42875	385883
20	45084	384292
21	47072	380860
22	49403	380188
23	51628	378606
24	53596	375172
25	55431	370966
26	57463	368195
27	59697	366713
28	61969	365408
29	64045	362925
30	65987	359737
31	68349	358836
32	70714	357860
33	72975	356294
34	75165	354350
35	77523	353160
36	79851	351776
37	82134	350154
38	84375	348317
39	86522	346089
40	88752	344188
41	91020	342411
42	92898	339189
43	94895	336446
44	97137	334585
45	99491	333081
46	101771	331299
47	104205	329984
48	106506	328215
49	108906	326720
50	111090	324559
51	113209	322210
52	115559	320515
53	117923	318830
54	120231	316973
55	122650	315386
56	124551	312471
57	126616	309991
58	128940	308145
59	131202	306138
60	133447	304086
61	135473	301538
62	137766	299586
63	139947	297389
64	142006	294936
65	144349	293072
66	146632	291077
67	148956	289151
68	151258	287172
69	153560	285183
70	155910	283274
71	158224	281287
72	160558	279327
73	162859	277301
74	165200	275334
75	167363	273066
76	169624	270959
77	171740	268619
78	173631	265941
79	175889	263833
80	178114	261674
81	180442	259661
82	182429	257159
83	184692	255051
84	187036	253049
85	189388	251049
86	191330	248509
87	193590	246387
88	195742	244128
89	198141	242172
90	200404	240044
91	202802	238072
92	205165	236051
93	207448	233931
94	209548	231605
95	211962	229626
96	214264	227517
97	216659	225502
98	219078	223504
99	221386	221386
100	223128	218710
101	225492	216649
102	227789	214520
103	230032	212337
104	232406	210272
105	234831	208246
106	237202	206166
107	239560	204070
108	241823	201888
109	244098	199716
110	246444	197599
111	249335	195906
112	252017	194031
113	255127	192464
114	258488	191057
115	262208	189875
116	266527	189075
117	270618	188056
118	274468	186823
119	278551	185700
120	282888	184696
121	287372	183730
122	292291	182979
123	296872	181954
124	305608	183364
125	313790	184289
126	320537	184246
127	324318	182429
128	329669	181445
129	334096	179897
130	338715	178407
131	343048	176722
132	347588	175101
133	351993	173370
134	355807	171314
135	360350	169576
136	364802	167756
137	368826	165704
138	373299	163822
139	377551	161807
140	381578	159667
141	386378	157816
142	390446	155632
143	395010	153615
144	399317	151465
145	403590	149273
146	407758	147014
147	411821	144694
148	416260	142478
149	420862	140287
150	425154	137963
151	429793	135724
152	434114	133355
153	438751	131055
154	442439	128450
155	446601	125964
156	450856	123483
157	455056	120964
158	459585	118509
159	464190	116047
160	468724	113541
161	472986	110947
162	477007	108277
163	481549	105706
164	485624	103011
165	490109	100383
166	494394	97694
167	498924	95033
168	503018	92269
169	506664	89411
170	510048	86499
171	513893	83657
172	517581	80778
173	521614	77942
174	525347	75049
175	529301	72177
176	533617	69340
177	537473	66429
178	541082	63478
179	544951	60550
180	548782	57607
181	552526	54645
182	556619	51707
183	560356	48726
184	564668	45783
185	568383	42781
186	571631	39739
187	575758	36750
188	579280	33714
189	583076	30688
190	586708	27645
191	590769	24615
192	594213	21551
193	598200	18501
194	602210	15441
195	605991	12367
196	609928	9288
197	613860	6200
198	617464	3102
199	621167	0
