amount_tsh,funder,gps_height,installer,longitude,latitude,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,scheme_management,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group
0,176,1996,233,35.2907992,-4.05969643,1,3917,9,21,3,64,18,321,2,3,2,2012,10,7,4,4,3,1,3,7,3,4,4,6,4,2,7,6
0,251,1569,248,36.65670893,-3.30921425,6,2718,1,2,2,1,651,300,2,7,2,2000,4,2,1,8,5,1,3,7,3,3,3,9,7,1,2,2
0,251,1685,248,36.68527855,-3.30242017,6,4320,1,2,2,1,347,200,2,7,2,1990,4,2,1,8,5,1,3,7,3,2,2,9,7,1,2,2
0,251,550,303,36.39804116,-7.54138236,7,2428,4,11,7,35,932,600,2,7,2,2007,5,3,2,8,5,1,3,5,5,2,2,4,1,1,5,4
0,224,234,275,39.60741997,-10.89378645,8,1373,13,9,4,117,1049,1,2,9,2,1982,14,11,6,8,5,1,3,7,3,1,1,4,1,1,3,2
30,893,584,490,39.262950700000005,-10.82358805,8,202,13,90,33,89,1218,40,2,7,1,1997,4,2,1,8,5,5,6,7,3,3,3,9,7,1,2,2
0,416,1083,486,37.09610836,-3.25175375,6,815,7,3,7,107,1778,1,2,9,2,2003,4,2,1,10,5,4,2,7,3,2,2,9,7,1,2,2
5,245,1259,119,37.23324768,-3.24112116,6,7473,7,3,5,17,893,75,2,9,2,2006,4,2,1,10,5,5,6,7,3,2,2,9,7,1,2,2
1000,146,1625,203,35.61562385,-7.87029042,7,8385,4,11,1,25,1272,1,2,7,2,1984,4,2,1,8,5,4,2,7,3,2,2,9,7,1,2,2
1200,146,916,248,35.48288627,-10.91259619,8,5055,17,10,2,112,1485,0,2,7,2,1989,4,2,1,8,5,3,1,7,3,2,2,7,5,2,3,2
200,251,1793,248,38.25402354,-4.5658015999999995,6,3877,21,4,1,53,1683,1,2,7,2,1978,4,2,1,8,5,4,2,7,3,2,2,9,7,1,2,2
0,224,368,275,39.43852591,-10.58336646,8,3491,13,9,4,117,144,300,2,9,2,1982,14,11,6,8,5,1,3,7,3,1,1,4,1,1,2,2
0,1,-27,1,39.32230666,-6.85026202,9,2901,2,7,3,120,1928,120,2,5,1,2010,14,11,6,3,2,1,3,7,3,2,2,4,1,1,2,2
0,187,1674,248,34.94362033,-9.35251465,7,4416,4,11,4,92,1948,30,2,7,1,2008,4,2,1,8,5,1,3,7,3,3,3,9,7,1,2,2
0,835,1087,248,31.04608844,-5.05419563,4,2402,6,16,3,32,1292,1750,2,7,2,2005,10,7,4,8,5,7,7,4,4,2,2,8,6,1,7,6
